1989-01-01,1989-07-01,base,24
1989-01-01,1989-07-01,ansi,22
1989-01-01,1989-07-01,bbn,19
1989-01-01,1989-07-01,alz,18
1989-01-01,1989-07-01,1989,17
1989-01-01,1989-07-01,1988,16
1989-01-01,1989-07-01,13,16
1989-01-01,1989-07-01,anyth,14
1989-01-01,1989-07-01,10,11
1989-01-01,1989-07-01,arg,9
1989-01-01,1989-07-01,37,9
1989-01-01,1989-07-01,ansilib,8
1989-01-01,1989-07-01,buf,7
1989-01-01,1989-07-01,const,70
1989-01-01,1989-07-01,int,68
1989-01-01,1989-07-01,size,60
1989-01-01,1989-07-01,xint,58
1989-01-01,1989-07-01,section,55
1989-01-01,1989-07-01,stream,51
1989-01-01,1989-07-01,end,51
1989-01-01,1989-07-01,shar,46
1989-01-01,1989-07-01,echo,46
1989-01-01,1989-07-01,test,31
1989-01-01,1989-07-01,fi,30
1989-01-01,1989-07-01,function,28
1989-01-01,1989-07-01,time,27
1989-01-01,1989-07-01,doubl,26
1989-01-01,1989-07-01,xdoubl,25
1989-01-01,1989-07-01,max,25
1989-01-01,1989-07-01,us,25
1989-01-01,1989-07-01,format,22
1989-01-01,1989-07-01,rsalz,21
1989-01-01,1989-07-01,charact,20
1989-01-01,1989-07-01,includ,19
1989-01-01,1989-07-01,string,19
1989-01-01,1989-07-01,exp,18
1989-01-01,1989-07-01,valu,18
1989-01-01,1989-07-01,local,18
1989-01-01,1989-07-01,put,18
1989-01-01,1989-07-01,rich,18
1989-01-01,1989-07-01,draft,18
1989-01-01,1989-07-01,stddef,17
1989-01-01,1989-07-01,els,17
1989-01-01,1989-07-01,xchar,16
1989-01-01,1989-07-01,voidptr,16
1989-01-01,1989-07-01,signal,16
1989-01-01,1989-07-01,errno,16
1989-01-01,1989-07-01,exist,16
1989-01-01,1989-07-01,unpack,16
1989-01-01,1989-07-01,header,16
1989-01-01,1989-07-01,domain,16
1989-01-01,1989-07-01,public,16
1989-01-01,1989-07-01,januari,16
1989-01-01,1989-07-01,written,16
1989-01-01,1989-07-01,mai,16
1989-01-01,1989-07-01,tm,15
1989-01-01,1989-07-01,min,15
1989-01-01,1989-07-01,wrong,15
1989-01-01,1989-07-01,wc,15
1989-01-01,1989-07-01,ne,15
1989-01-01,1989-07-01,sed,15
1989-01-01,1989-07-01,extract,15
1989-01-01,1989-07-01,clobber,15
1989-01-01,1989-07-01,setjmp,15
1989-01-01,1989-07-01,don,15
1989-01-01,1989-07-01,limit,14
1989-01-01,1989-07-01,endif,13
1989-01-01,1989-07-01,ifndef,13
1989-01-01,1989-07-01,real,13
1989-01-01,1989-07-01,demonstr,13
1989-01-01,1989-07-01,given,13
1989-01-01,1989-07-01,placehold,13
1989-01-01,1989-07-01,stdlib,13
1989-01-01,1989-07-01,stdio,13
1989-01-01,1989-07-01,stdarg,13
1989-01-01,1989-07-01,math,13
1989-01-01,1989-07-01,float,13
1989-01-01,1989-07-01,nptr,12
1989-01-01,1989-07-01,xtypedef,12
1989-01-01,1989-07-01,xvoidresult,11
1989-01-01,1989-07-01,void,11
1989-01-01,1989-07-01,nmemb,10
1989-01-01,1989-07-01,va,10
1989-01-01,1989-07-01,flt,10
1989-01-01,1989-07-01,xsize,9
1989-01-01,1989-07-01,ldbl,9
1989-01-01,1989-07-01,dbl,9
1989-01-01,1989-07-01,timer,8
1989-01-01,1989-07-01,xvoidptr,8
1989-01-01,1989-07-01,ptr,8
1989-01-01,1989-07-01,sig,8
1989-01-01,1989-07-01,readm,8
1989-01-01,1989-07-01,filenam,7
1989-01-01,1989-07-01,wchar,7
1989-01-01,1989-07-01,mode,6
